City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Vaini,TO,2022-04-04 18:34:26,-21.2,-175.2,69.96,100,100,6.91
108,Kalaleh,IR,2022-04-04 18:34:26,37.3807,55.4916,62.2,72,75,18.41
109,Cap Malheureux,MU,2022-04-04 18:30:45,-19.9842,57.6142,79.47,84,100,7.0
110,Nanzhou,CN,2022-04-04 18:34:27,29.3596,112.4024,58.78,71,100,3.65
111,Progreso,MX,2022-04-04 18:34:27,21.2833,-89.6667,95.11,38,0,5.48
112,Boa Vista,BR,2022-04-04 18:33:30,2.8197,-60.6733,89.58,51,75,3.44
113,Mahibadhoo,MV,2022-04-04 18:34:28,3.7833,72.9667,83.48,64,6,1.45
114,Geraldton,AU,2022-04-04 18:31:16,-28.7667,114.6,66.61,82,0,16.11
115,Sokolo,ML,2022-04-04 18:34:28,14.7328,-6.1219,98.42,9,0,5.79
116,Port Elizabeth,ZA,2022-04-04 18:30:19,-33.918,25.5701,66.09,86,0,12.66
117,Nhulunbuy,AU,2022-04-04 18:34:29,-12.2333,136.7667,77.61,88,90,0.0
118,Glowno,PL,2022-04-04 18:34:29,51.9646,19.7157,43.92,65,100,23.35
119,Hasaki,JP,2022-04-04 18:34:29,35.7333,140.8333,46.8,91,100,33.13
120,Port Lincoln,AU,2022-04-04 18:30:41,-34.7333,135.8667,64.02,79,100,10.92
121,Saint-Joseph,RE,2022-04-04 18:34:30,-21.3667,55.6167,75.58,85,99,10.54
122,De Aar,ZA,2022-04-04 18:34:30,-30.6497,24.0123,59.18,35,0,11.41
123,Dikson,RU,2022-04-04 18:34:30,73.5069,80.5464,-1.97,96,90,8.16
124,Vilhena,BR,2022-04-04 18:34:31,-12.7406,-60.1458,82.62,74,75,6.91
125,Copiapo,CL,2022-04-04 18:34:31,-27.3667,-70.3333,84.33,25,0,8.28
126,Shitanjing,CN,2022-04-04 18:34:32,39.2342,106.3439,46.96,20,49,7.16
127,Faanui,PF,2022-04-04 18:34:32,-16.4833,-151.75,82.8,70,31,18.68
128,Necochea,AR,2022-04-04 18:30:06,-38.5473,-58.7368,65.14,41,0,12.26
129,Yichang,CN,2022-04-04 18:34:33,30.7144,111.2847,60.01,78,100,3.53
130,Torbay,CA,2022-04-04 18:33:42,47.6666,-52.7314,48.97,66,40,18.41
131,Fortuna,US,2022-04-04 18:34:33,40.5982,-124.1573,52.66,96,75,12.66
132,Celestun,MX,2022-04-04 18:34:34,20.8667,-90.4,88.47,53,0,9.42
133,Victoria,HK,2022-04-04 18:30:12,22.2855,114.1577,66.38,74,78,13.0
134,Banjar,ID,2022-04-04 18:34:34,-8.19,114.9675,74.98,90,37,5.01
135,Zhengjiatun,CN,2022-04-04 18:34:35,43.5064,123.5064,49.24,55,6,26.49
136,Kampot,KH,2022-04-04 18:35:35,10.6167,104.1833,82.45,74,94,8.99
137,Padang,ID,2022-04-04 18:35:36,-0.9492,100.3543,73.45,78,100,4.72
138,Zanjan,IR,2022-04-04 18:35:36,36.6736,48.4787,57.24,30,7,7.58
139,Hualmay,PE,2022-04-04 18:35:36,-11.0964,-77.6139,74.16,74,29,10.54
140,Marzuq,YE,2022-04-04 18:35:37,14.4,46.4667,70.75,38,1,6.13
141,Tiksi,RU,2022-04-04 18:35:37,71.6872,128.8694,-6.52,100,100,4.38
142,Sonoita,MX,2022-04-04 18:34:42,31.85,-112.8333,74.75,24,0,5.06
143,Snasa,NO,2022-04-04 18:35:38,64.2457,12.3778,27.81,94,16,4.05
144,Calatayud,ES,2022-04-04 18:35:38,41.3535,-1.6432,41.22,56,91,6.89
145,Tromso,NO,2022-04-04 18:34:57,69.6496,18.957,24.82,58,20,5.75
146,Linxia,CN,2022-04-04 18:35:38,35.6003,103.2064,44.55,27,0,3.76
147,Polunochnoye,RU,2022-04-04 18:35:39,60.8697,60.4153,21.2,94,100,3.18
148,Mehamn,NO,2022-04-04 18:35:39,71.0357,27.8492,20.48,75,97,9.06
149,Nikolskoye,RU,2022-04-04 18:35:40,59.7035,30.7861,38.71,72,100,12.53
150,Axim,GH,2022-04-04 18:35:41,4.8699,-2.2405,81.95,81,100,9.51
151,Tasiilaq,GL,2022-04-04 18:35:41,65.6145,-37.6368,24.96,92,97,9.4
152,Northam,GB,2022-04-04 18:35:43,51.0333,-4.2167,53.38,96,100,14.63
