City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
566,Sao Miguel Dos Campos,BR,-9.7811,-36.0936,85.5,60,50,9.42,scattered clouds
567,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,100,100,6.71,light shower snow
568,Ishigaki,JP,24.3448,124.1572,69.93,73,48,18.41,scattered clouds
569,Arak,IR,34.0917,49.6892,62.89,23,0,34.4,clear sky
570,Sebring,US,27.4956,-81.4409,84.67,77,100,16.11,overcast clouds
571,Nha Trang,VN,12.25,109.1833,77.0,80,100,10.13,overcast clouds
572,Shitanjing,CN,39.2342,106.3439,59.56,12,0,5.55,clear sky
573,Harlingen,US,26.1906,-97.6961,73.31,40,0,18.41,clear sky
574,Kholm,RU,59.2667,32.85,38.35,98,100,8.55,light rain
575,Blacksburg,US,37.2296,-80.4139,54.09,92,100,4.61,overcast clouds
576,Ruangwa,TZ,-10.0667,38.9333,76.35,91,15,4.45,few clouds
577,Palana,RU,59.1167,159.9667,16.7,85,100,5.37,overcast clouds
578,Leshukonskoye,RU,64.8989,45.7622,31.17,89,96,1.97,overcast clouds
579,Hwange,ZW,-18.3693,26.5019,91.4,27,32,6.11,scattered clouds
580,Maceio,BR,-9.6658,-35.7353,85.44,61,75,13.8,broken clouds
581,Edirne,TR,41.6772,26.556,62.8,65,91,11.5,overcast clouds
582,Neiafu,TO,-18.65,-173.9833,81.28,89,75,8.05,broken clouds
583,Luhacovice,CZ,49.0998,17.7575,65.34,49,73,12.48,broken clouds
584,Balarampur,IN,23.1167,86.2167,86.0,9,2,1.86,clear sky
585,Bone,DE,51.9669,12.1396,52.83,85,71,19.44,broken clouds
586,Aswan,EG,24.0934,32.907,108.7,5,2,11.5,sand
587,Gimli,CA,50.6336,-96.9907,30.22,64,100,19.57,overcast clouds
588,Waddan,LY,29.1614,16.139,86.45,20,0,16.02,clear sky
589,Adeje,ES,28.1227,-16.726,66.56,48,20,21.85,few clouds
590,Dickinson,US,29.4608,-95.0513,67.15,37,0,13.8,clear sky
591,Lavrentiya,RU,65.5833,-171.0,-11.47,97,100,6.2,overcast clouds
592,Carballo,ES,43.213,-8.691,57.0,91,100,13.96,light rain
593,Wanaka,NZ,-44.7,169.15,39.11,84,1,4.16,clear sky
594,Enterprise,US,36.0252,-115.2419,60.64,19,0,3.44,clear sky
595,Altay,CN,47.8667,88.1167,48.54,49,19,9.4,few clouds
596,Prainha,BR,-1.8,-53.48,84.07,68,93,4.03,overcast clouds
597,Moose Factory,CA,51.2585,-80.6094,30.2,64,75,17.27,broken clouds
598,Hofn,IS,64.2539,-15.2082,35.62,38,20,17.27,few clouds
599,Mugur-Aksy,RU,50.35,90.5,34.25,72,71,6.11,broken clouds
600,Zanjan,IR,36.6736,48.4787,60.49,29,100,18.41,overcast clouds
601,Kaya,BF,13.0917,-1.0844,106.63,14,34,2.95,scattered clouds
602,Yeppoon,AU,-23.1333,150.7333,73.18,75,61,17.27,broken clouds
603,Atessa,IT,42.0693,14.4511,58.01,64,51,5.01,broken clouds
604,Falam,MM,22.9167,93.6833,65.1,45,32,4.14,scattered clouds
605,Sambava,MG,-14.2667,50.1667,79.68,86,43,9.8,light rain
606,Mbandaka,CD,0.0487,18.2603,86.36,56,70,1.34,broken clouds
607,Mae Sot,TH,16.7167,98.5667,75.72,85,96,0.76,overcast clouds
608,Mogadishu,SO,2.0371,45.3438,82.81,73,71,15.59,broken clouds
609,Naliya,IN,23.2667,68.8333,84.09,58,37,9.78,scattered clouds
